quoted_tweet.id,q_min,q_max,q_mean,q_std,Cat,is_retweeted,Label,retweet
qID0,0,0,0,,quoted_tweet,1,qID0,
qID1,0,0,0,,quoted_tweet,1,qID1,
qID10,0,0,0,0,quoted_tweet,0,qID10,
qID100,0,9,2.07,3.39,quoted_tweet,0,qID100,
qID101,0,8,0.67,1.92,quoted_tweet,0,qID101,
qID102,0,125,11.8,33.26,quoted_tweet,0,qID102,
qID103,0,1,0.5,0.58,quoted_tweet,,qID103,
qID104,0,6,2.47,2.53,quoted_tweet,0,qID104,
qID105,0,163,32.87,52.36,quoted_tweet,1,qID105,
qID106,0,156,34.93,50.23,quoted_tweet,0,qID106,
qID107,0,2,0.42,0.67,quoted_tweet,0,qID107,
qID108,5,5,5,0,quoted_tweet,,qID108,
qID109,0,0,0,,quoted_tweet,1,qID109,
qID11,1,1,1,,quoted_tweet,1,qID11,
qID110,0,22,8.27,8.2,quoted_tweet,1,qID110,
qID111,0,107,39.59,50.53,quoted_tweet,0,qID111,
qID112,0,3,0.55,0.93,quoted_tweet,0,qID112,
qID113,0,176,35.98,48.28,quoted_tweet,0,qID113,
qID114,0,3,1.33,1.53,quoted_tweet,0,qID114,
qID115,0,24,9.89,10.22,quoted_tweet,1,qID115,
qID116,0,27,7.22,7.95,quoted_tweet,0,qID116,
qID117,0,0,0,0,quoted_tweet,0,qID117,
qID118,0,202,130.05,96.95,quoted_tweet,0,qID118,
qID119,0,12,7.1,3.6,quoted_tweet,0,qID119,
qID12,0,119,72.74,57.4,quoted_tweet,0,qID12,
qID120,0,312,129.41,128.5,quoted_tweet,0,qID120,
qID121,0,9,1.44,2.88,quoted_tweet,1,qID121,
qID122,0,961,665.6,444.87,quoted_tweet,1,qID122,
qID123,0,242,51.25,83.21,quoted_tweet,1,qID123,
qID124,0,54,21.49,20.21,quoted_tweet,0,qID124,
qID125,0,27,15.3,11.5,quoted_tweet,1,qID125,
qID126,0,435,100.25,162.56,quoted_tweet,1,qID126,
qID127,0,5,1.73,2.15,quoted_tweet,0,qID127,
qID128,0,45,11.38,13.6,quoted_tweet,0,qID128,
qID129,0,27,3.56,5.82,quoted_tweet,0,qID129,
qID13,0,104,26.5,51.67,quoted_tweet,0,qID13,
qID130,0,57,4.91,12.33,quoted_tweet,0,qID130,
qID131,0,23,5.19,7.2,quoted_tweet,0,qID131,
qID132,0,34,11.17,13.23,quoted_tweet,0,qID132,
qID133,0,2,0.7,0.95,quoted_tweet,0,qID133,
qID134,0,2,0.32,0.63,quoted_tweet,0,qID134,
qID135,0,6,0.75,1.78,quoted_tweet,0,qID135,
qID136,0,7,3.63,2.93,quoted_tweet,0,qID136,
qID137,2,99,77.44,42.77,quoted_tweet,0,qID137,
qID138,0,41,11.36,12.65,quoted_tweet,0,qID138,
qID139,0,4,1.12,1.52,quoted_tweet,0,qID139,
qID14,1,46,12.25,22.5,quoted_tweet,1,qID14,
qID140,0,3,0.38,0.75,quoted_tweet,0,qID140,
qID141,0,16,1.28,2.53,quoted_tweet,0,qID141,
qID142,0,2,0.29,0.69,quoted_tweet,0,qID142,
qID143,0,4,0.25,0.64,quoted_tweet,0,qID143,
qID144,0,8,0.98,1.92,quoted_tweet,0,qID144,
qID145,0,0,0,,quoted_tweet,0,qID145,
qID146,0,0,0,,quoted_tweet,0,qID146,
qID147,1,1,1,,quoted_tweet,0,qID147,
qID148,0,82,7.79,17.96,quoted_tweet,0,qID148,
qID149,0,14,1.66,3.65,quoted_tweet,0,qID149,
qID15,78,78,78,,quoted_tweet,0,qID15,
qID150,0,0,0,0,quoted_tweet,0,qID150,
qID151,0,9,0.71,1.66,quoted_tweet,0,qID151,
qID152,0,33,3.27,6.9,quoted_tweet,0,qID152,
qID153,0,5,1.69,1.96,quoted_tweet,0,qID153,
qID154,0,23,4.09,7.68,quoted_tweet,0,qID154,
qID155,0,29,6.06,11.74,quoted_tweet,0,qID155,
qID156,0,39,3.65,9.75,quoted_tweet,0,qID156,
qID157,0,6,0.88,1.54,quoted_tweet,0,qID157,
qID158,0,9,1.82,3.13,quoted_tweet,0,qID158,
qID159,0,6,1.06,1.53,quoted_tweet,0,qID159,
qID16,1,5,2.6,2.19,quoted_tweet,0,qID16,
qID160,0,13,3.09,4.13,quoted_tweet,0,qID160,
qID161,0,5,0.91,1.72,quoted_tweet,0,qID161,
qID162,0,15,2.15,4.65,quoted_tweet,0,qID162,
qID163,0,1,0.23,0.44,quoted_tweet,0,qID163,
qID164,0,6,2,2.29,quoted_tweet,0,qID164,
qID165,0,17,3.71,5.48,quoted_tweet,0,qID165,
qID166,0,3,0.7,0.86,quoted_tweet,0,qID166,
qID167,0,14,4.41,5.38,quoted_tweet,0,qID167,
qID168,0,15,3.67,5.91,quoted_tweet,0,qID168,
qID169,0,8,0.94,1.72,quoted_tweet,0,qID169,
qID17,2,2,2,0,quoted_tweet,0,qID17,
qID170,0,103,23.31,33.9,quoted_tweet,0,qID170,
qID171,0,71,20.6,30.77,quoted_tweet,0,qID171,
qID172,0,8,1.29,2.42,quoted_tweet,0,qID172,
qID173,0,15,2.83,4.43,quoted_tweet,0,qID173,
qID174,0,15,6.48,5.94,quoted_tweet,0,qID174,
qID175,0,3,0.9,1.22,quoted_tweet,0,qID175,
qID176,0,152,75.68,75.44,quoted_tweet,0,qID176,
qID177,0,3429,854.5,1349.6,quoted_tweet,0,qID177,
qID178,0,32,2.85,6.57,quoted_tweet,0,qID178,
qID179,0,13,3.48,4.01,quoted_tweet,0,qID179,
qID18,43,43,43,,quoted_tweet,0,qID18,
qID180,0,8,1.29,2.34,quoted_tweet,0,qID180,
qID181,0,4,1.11,1.49,quoted_tweet,0,qID181,
qID182,0,34,3.83,7.65,quoted_tweet,0,qID182,
qID183,0,15,4.92,6.14,quoted_tweet,0,qID183,
qID184,0,7,1.2,2.01,quoted_tweet,0,qID184,
qID185,0,146,17.21,43,quoted_tweet,0,qID185,
qID186,0,11,3.03,4.28,quoted_tweet,0,qID186,
qID187,0,5,0.76,1.22,quoted_tweet,1,qID187,
qID188,0,43,10.8,17.27,quoted_tweet,1,qID188,
qID189,0,20,4.79,7.61,quoted_tweet,0,qID189,
qID19,99,99,99,,quoted_tweet,0,qID19,
qID190,0,169,18.52,48.53,quoted_tweet,0,qID190,
qID191,0,35,4.67,9.29,quoted_tweet,0,qID191,
qID192,0,66,8.46,17.23,quoted_tweet,0,qID192,
qID193,0,10,1.74,2.64,quoted_tweet,1,qID193,
qID194,0,16,2.11,4.16,quoted_tweet,1,qID194,
qID195,0,15,3.31,4.56,quoted_tweet,0,qID195,
qID196,0,5,1.5,1.38,quoted_tweet,0,qID196,
qID197,0,1,0.21,0.42,quoted_tweet,0,qID197,
qID198,0,1,0.33,0.5,quoted_tweet,0,qID198,
qID199,0,10,1.89,3.08,quoted_tweet,0,qID199,
qID2,3,4,3.5,0.71,quoted_tweet,0,qID2,
qID20,0,3,1.5,1.73,quoted_tweet,0,qID20,
qID200,0,19,3.79,6.35,quoted_tweet,0,qID200,
qID201,0,5,1,1.41,quoted_tweet,0,qID201,
qID202,0,35,2.23,6.31,quoted_tweet,0,qID202,
qID203,0,8,1.7,2.3,quoted_tweet,0,qID203,
qID204,0,2995,1338.6,1319.97,quoted_tweet,0,qID204,
qID205,0,47,6.5,10.67,quoted_tweet,0,qID205,
qID206,0,19,3.06,5.45,quoted_tweet,,qID206,
qID207,0,26,2.39,5.51,quoted_tweet,0,qID207,
qID208,0,17,3.49,5.24,quoted_tweet,0,qID208,
qID209,0,1,0.11,0.32,quoted_tweet,0,qID209,
qID21,40,40,40,,quoted_tweet,0,qID21,
qID210,0,2888,1820.88,1394.65,quoted_tweet,0,qID210,
qID211,0,7,1.04,2.38,quoted_tweet,0,qID211,
qID212,0,16,2.88,6.01,quoted_tweet,0,qID212,
qID213,0,43,12.83,19.66,quoted_tweet,,qID213,
qID214,0,15,5.62,5.99,quoted_tweet,0,qID214,
qID215,0,20,5.23,8.35,quoted_tweet,0,qID215,
qID216,0,26,6.1,10.45,quoted_tweet,0,qID216,
qID217,0,72,16.23,24.77,quoted_tweet,0,qID217,
qID218,0,21,1.95,4.89,quoted_tweet,0,qID218,
qID219,0,10,1.62,2.73,quoted_tweet,1,qID219,
qID22,39,39,39,,quoted_tweet,1,qID22,
qID220,0,999,78.96,250.39,quoted_tweet,0,qID220,
qID221,0,3,0.55,0.93,quoted_tweet,0,qID221,
qID222,0,20,2.24,5.06,quoted_tweet,0,qID222,
qID223,0,15,4.12,6.5,quoted_tweet,0,qID223,
qID224,1,2,1.33,0.58,quoted_tweet,0,qID224,
qID225,0,3,0.45,0.93,quoted_tweet,1,qID225,
qID226,0,10,0.81,2.27,quoted_tweet,1,qID226,
qID227,0,61,4.8,10.76,quoted_tweet,0,qID227,
qID228,0,12,0.92,2.4,quoted_tweet,1,qID228,
qID229,0,3,1.14,1.35,quoted_tweet,0,qID229,
qID23,0,0,0,0,quoted_tweet,0,qID23,
qID230,0,5,0.59,1.39,quoted_tweet,1,qID230,
qID231,0,0,0,,quoted_tweet,0,qID231,
qID232,0,1,0.05,0.23,quoted_tweet,0,qID232,
qID233,0,1,0.67,0.58,quoted_tweet,0,qID233,
qID234,0,12,2.42,3.61,quoted_tweet,0,qID234,
qID235,0,35,21.68,16.69,quoted_tweet,1,qID235,
qID236,0,2,0.67,0.87,quoted_tweet,0,qID236,
qID237,0,6,0.52,1.19,quoted_tweet,0,qID237,
qID238,0,9,0.94,2.32,quoted_tweet,0,qID238,
qID239,0,5,0.76,1.42,quoted_tweet,0,qID239,
qID24,0,0,0,,quoted_tweet,0,qID24,
qID240,0,3,1.5,1.73,quoted_tweet,0,qID240,
qID241,0,2,0.38,0.74,quoted_tweet,0,qID241,
qID242,0,1,0.17,0.41,quoted_tweet,0,qID242,
qID243,0,5,0.88,1.51,quoted_tweet,0,qID243,
qID244,0,4,1.42,1.68,quoted_tweet,0,qID244,
qID245,0,3,0.76,1.02,quoted_tweet,0,qID245,
qID246,0,5,0.83,1.37,quoted_tweet,0,qID246,
qID247,0,4,0.68,1.16,quoted_tweet,0,qID247,
qID248,0,4,1.06,1.39,quoted_tweet,0,qID248,
qID249,0,20,1.87,3.59,quoted_tweet,0,qID249,
qID25,0,1,0.67,0.58,quoted_tweet,0,qID25,
qID250,0,561,177.66,233.93,quoted_tweet,0,qID250,
qID251,0,6,1.79,2.55,quoted_tweet,0,qID251,
qID252,0,3,0.47,0.96,quoted_tweet,0,qID252,
qID253,0,5,1.53,1.64,quoted_tweet,0,qID253,
qID254,0,4,0.67,1.04,quoted_tweet,0,qID254,
qID255,0,38,6.64,13.22,quoted_tweet,0,qID255,
qID256,0,17,4.1,5.66,quoted_tweet,1,qID256,
qID257,0,4,1.09,1.3,quoted_tweet,1,qID257,
qID258,0,12,2.21,3.66,quoted_tweet,1,qID258,
qID259,0,25,5.9,8.74,quoted_tweet,0,qID259,
qID26,0,0,0,,quoted_tweet,0,qID26,
qID260,0,2,0.57,0.98,quoted_tweet,0,qID260,
qID261,0,3,0.57,1.12,quoted_tweet,0,qID261,
qID262,0,25,6.27,10.55,quoted_tweet,1,qID262,
qID263,0,5,1.55,2.07,quoted_tweet,1,qID263,
qID264,0,4,0.92,1.5,quoted_tweet,0,qID264,
qID265,0,13,4.6,5.78,quoted_tweet,0,qID265,
qID266,0,6,0.69,1.39,quoted_tweet,0,qID266,
qID267,0,28,8.9,10.75,quoted_tweet,0,qID267,
qID268,0,1,0.39,0.5,quoted_tweet,0,qID268,
qID269,0,2,0.23,0.53,quoted_tweet,0,qID269,
qID27,1,1,1,,quoted_tweet,0,qID27,
qID270,0,0,0,,quoted_tweet,0,qID270,
qID271,0,4,1.5,1.51,quoted_tweet,0,qID271,
qID272,0,15,3.68,4.32,quoted_tweet,0,qID272,
qID273,0,51,4.86,9.83,quoted_tweet,1,qID273,
qID274,0,11,1.24,2.82,quoted_tweet,1,qID274,
qID275,0,2,0.27,0.65,quoted_tweet,1,qID275,
qID276,0,7,1.79,2.89,quoted_tweet,1,qID276,
qID277,0,9,1.28,2.67,quoted_tweet,1,qID277,
qID278,0,40,9.17,14.82,quoted_tweet,0,qID278,
qID279,0,27,12.03,12.86,quoted_tweet,0,qID279,
qID28,1,1,1,0,quoted_tweet,1,qID28,
qID280,0,3,1.33,1.3,quoted_tweet,0,qID280,
qID281,0,19,4.63,5.7,quoted_tweet,0,qID281,
qID282,0,3,0.33,1,quoted_tweet,1,qID282,
qID283,0,21,6.5,10.01,quoted_tweet,1,qID283,
qID284,0,7,1.48,2.52,quoted_tweet,1,qID284,
qID285,0,7,0.81,2.07,quoted_tweet,1,qID285,
qID286,0,1,0.25,0.46,quoted_tweet,1,qID286,
qID287,0,3,1,1.36,quoted_tweet,1,qID287,
qID288,0,3,0.42,0.84,quoted_tweet,0,qID288,
qID289,0,7,0.78,1.83,quoted_tweet,1,qID289,
qID29,1,1,1,,quoted_tweet,1,qID29,
qID290,0,3,0.36,0.92,quoted_tweet,1,qID290,
qID291,0,18,3.98,5.46,quoted_tweet,0,qID291,
qID292,0,35,7.71,12.33,quoted_tweet,1,qID292,
qID293,0,56,22.83,26.51,quoted_tweet,1,qID293,
qID294,0,20,5.38,7.8,quoted_tweet,1,qID294,
qID295,0,8,1.63,2.91,quoted_tweet,1,qID295,
qID296,0,36,7.13,13.65,quoted_tweet,1,qID296,
qID297,0,4,0.93,1.67,quoted_tweet,0,qID297,
qID3,0,13,5.54,5.36,quoted_tweet,0,qID3,
qID30,57,57,57,0,quoted_tweet,0,qID30,
qID31,0,22,11.5,11.55,quoted_tweet,1,qID31,
qID32,1,3,2.25,0.96,quoted_tweet,0,qID32,
qID33,0,0,0,,quoted_tweet,0,qID33,
qID34,0,0,0,,quoted_tweet,1,qID34,
qID35,1,1,1,,quoted_tweet,0,qID35,
qID36,0,1,0.33,0.58,quoted_tweet,,qID36,
qID37,0,0,0,,quoted_tweet,0,qID37,
qID38,1,1,1,,quoted_tweet,0,qID38,
qID39,1,1,1,0,quoted_tweet,0,qID39,
qID4,0,2,0.33,0.82,quoted_tweet,0,qID4,
qID40,2,2,2,,quoted_tweet,0,qID40,
qID41,0,0,0,,quoted_tweet,0,qID41,
qID42,1,31,25,12.65,quoted_tweet,1,qID42,
qID43,0,7,4.67,4.04,quoted_tweet,0,qID43,
qID44,0,0,0,,quoted_tweet,0,qID44,
qID45,0,0,0,,quoted_tweet,1,qID45,
qID46,0,0,0,,quoted_tweet,0,qID46,
qID47,4,5,4.5,0.58,quoted_tweet,1,qID47,
qID48,1,1,1,,quoted_tweet,1,qID48,
qID49,2,2,2,,quoted_tweet,0,qID49,
qID5,0,17,6.21,6.24,quoted_tweet,0,qID5,
qID50,0,3,1.75,1.5,quoted_tweet,0,qID50,
qID51,0,40,5.12,14.1,quoted_tweet,1,qID51,
qID52,1,30,12.25,9.39,quoted_tweet,1,qID52,
qID53,0,1,0.5,0.58,quoted_tweet,1,qID53,
qID54,0,0,0,,quoted_tweet,1,qID54,
qID55,0,3,0.6,1.34,quoted_tweet,1,qID55,
qID56,69,69,69,,quoted_tweet,0,qID56,
qID57,0,2,1.33,1.15,quoted_tweet,0,qID57,
qID58,0,0,0,,quoted_tweet,1,qID58,
qID59,0,0,0,,quoted_tweet,1,qID59,
qID6,1,1,1,,quoted_tweet,1,qID6,
qID60,0,0,0,,quoted_tweet,1,qID60,
qID61,0,14,1.14,3.72,quoted_tweet,1,qID61,
qID62,0,7,1.67,2.85,quoted_tweet,1,qID62,
qID63,0,2,1.33,1.15,quoted_tweet,0,qID63,
qID64,0,0,0,0,quoted_tweet,1,qID64,
qID65,0,0,0,,quoted_tweet,1,qID65,
qID66,0,0,0,,quoted_tweet,1,qID66,
qID67,0,0,0,0,quoted_tweet,0,qID67,
qID68,0,42,4.89,13.92,quoted_tweet,0,qID68,
qID69,0,3,0.36,0.92,quoted_tweet,1,qID69,
qID7,1,15,8,8.08,quoted_tweet,1,qID7,
qID70,0,17,4.08,7.38,quoted_tweet,1,qID70,
qID71,0,49,27,25.28,quoted_tweet,1,qID71,
qID72,0,0,0,0,quoted_tweet,1,qID72,
qID73,0,21,7.9,9.41,quoted_tweet,0,qID73,
qID74,0,11,1.65,2.97,quoted_tweet,0,qID74,
qID75,0,6,3.18,2.48,quoted_tweet,0,qID75,
qID76,0,186,69.75,83.78,quoted_tweet,1,qID76,
qID77,0,0,0,0,quoted_tweet,1,qID77,
qID78,0,0,0,0,quoted_tweet,1,qID78,
qID79,0,3,0.79,1.05,quoted_tweet,0,qID79,
qID8,0,3,2.25,1.5,quoted_tweet,0,qID8,
qID80,0,5,1.43,1.87,quoted_tweet,0,qID80,
qID81,0,0,0,,quoted_tweet,1,qID81,
qID82,0,8,1.64,3.2,quoted_tweet,0,qID82,
qID83,0,0,0,,quoted_tweet,0,qID83,
qID84,0,0,0,,quoted_tweet,1,qID84,
qID85,0,8,3,4.14,quoted_tweet,1,qID85,
qID86,0,0,0,0,quoted_tweet,0,qID86,
qID87,0,0,0,0,quoted_tweet,1,qID87,
qID88,0,0,0,,quoted_tweet,0,qID88,
qID89,0,7,6,2.65,quoted_tweet,0,qID89,
qID9,7,7,7,0,quoted_tweet,1,qID9,
qID90,0,0,0,,quoted_tweet,1,qID90,
qID91,0,6,1.8,2.68,quoted_tweet,1,qID91,
qID92,0,4,1.2,1.64,quoted_tweet,1,qID92,
qID93,0,0,0,,quoted_tweet,1,qID93,
qID94,0,0,0,,quoted_tweet,1,qID94,
qID95,0,0,0,,quoted_tweet,1,qID95,
qID96,0,2,0.31,0.75,quoted_tweet,1,qID96,
qID97,0,6,1.38,2.39,quoted_tweet,1,qID97,
qID98,0,21,9.93,10.08,quoted_tweet,1,qID98,
qID99,0,20,1.66,5.02,quoted_tweet,0,qID99,
